fecha,clave,tienda,nombre,precio,disponible,url
2026-08-14 17:19,Pin Collection,TodoHits,Deluxe Pin Collection Ascended Heroes | POKÉMON | Inglés,"59,00 €",False,https://todohits.com/products/deluxe-pin-collection-ascended-heroes-pokemon-ingles
2026-08-14 18:07,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"708,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-14 18:07,Booster Bundle,JJCOLLECTION,Pokémon TCG - Booster bundle Ascended Heroes (Ingles & Español),"46,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-booster-bundle-ascended-heroes-ingles-espanol
2026-08-14 20:08,Blister,CardZone,Blister Pokemon Héroes Ascendentes - Español,"19,95 €",False,https://cardzone.es/products/blister-heroes-ascendentes-espanol
2026-08-14 20:08,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"709,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-14 21:13,Pin Collection,TodoHits,Deluxe Pin Collection Ascended Heroes | POKÉMON | Inglés,"60,00 €",False,https://todohits.com/products/deluxe-pin-collection-ascended-heroes-pokemon-ingles
2026-08-14 21:13,Booster Bundle,JJCOLLECTION,Pokémon TCG - Booster bundle Ascended Heroes (Ingles & Español),"47,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-booster-bundle-ascended-heroes-ingles-espanol
2026-08-14 22:06,Pin Collection,TodoHits,Deluxe Pin Collection Ascended Heroes | POKÉMON | Inglés,"59,00 €",False,https://todohits.com/products/deluxe-pin-collection-ascended-heroes-pokemon-ingles
2026-08-14 22:25,Booster Bundle,JJCOLLECTION,Pokémon TCG - Booster bundle Ascended Heroes (Ingles & Español),"46,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-booster-bundle-ascended-heroes-ingles-espanol
2026-08-16 11:52,EX Box,CardZone,Caja Mega EX Box Héroes Ascendentes - Español,"35,95 €",False,https://cardzone.es/products/caja-mega-ex-box-heroes-ascendentes-espanol
2026-08-16 16:13,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"708,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-16 17:12,Pin Collection,TodoHits,Deluxe Pin Collection Ascended Heroes | POKÉMON | Inglés,"60,00 €",False,https://todohits.com/products/deluxe-pin-collection-ascended-heroes-pokemon-ingles
2026-08-16 17:12,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"709,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-16 17:12,Booster Bundle,JJCOLLECTION,Pokémon TCG - Booster bundle Ascended Heroes (Ingles & Español),"47,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-booster-bundle-ascended-heroes-ingles-espanol
2026-08-16 18:13,Pin Collection,TodoHits,Deluxe Pin Collection Ascended Heroes | POKÉMON | Inglés,"59,00 €",False,https://todohits.com/products/deluxe-pin-collection-ascended-heroes-pokemon-ingles
2026-08-16 18:13,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"708,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-16 18:13,Booster Bundle,JJCOLLECTION,Pokémon TCG - Booster bundle Ascended Heroes (Ingles & Español),"46,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-booster-bundle-ascended-heroes-ingles-espanol
2026-08-16 19:16,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"709,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-16 20:13,Booster Bundle,JJCOLLECTION,Pokémon TCG - Booster bundle Ascended Heroes (Ingles & Español),"47,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-booster-bundle-ascended-heroes-ingles-espanol
2026-08-16 21:13,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"708,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-16 21:13,Booster Bundle,JJCOLLECTION,Pokémon TCG - Booster bundle Ascended Heroes (Ingles & Español),"46,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-booster-bundle-ascended-heroes-ingles-espanol
2026-08-16 23:13,Pin Collection,TodoHits,Deluxe Pin Collection Ascended Heroes | POKÉMON | Inglés,"60,00 €",False,https://todohits.com/products/deluxe-pin-collection-ascended-heroes-pokemon-ingles
2026-08-16 23:13,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"709,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-16 23:13,Booster Bundle,JJCOLLECTION,Pokémon TCG - Booster bundle Ascended Heroes (Ingles & Español),"47,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-booster-bundle-ascended-heroes-ingles-espanol
